id,id_sim_goods
115,"214,343,213"
116,"491,72,347"
117,"477,245,348"
118,"119,350,462"
119,"350,118,32"
120,"216,353,184"
121,"161,358,232"
122,"72,73,334"
123,"101,229,249"
124,"491,397,322"
125,"76,225,218"
126,"40,358,357"
127,"356,91,218"
128,"132,58,236"
129,"51,33,342"
130,"354,464,83"
131,"50,104,403"
132,"128,236,248"
133,"472,368,153"
134,"49,50,42"
135,"149,479,344"
136,"398,113,114"
137,"99,142,422"
138,"347,98,491"
139,"72,334,491"
140,"40,78,283"
141,"275,274,327"
142,"422,137,99"
143,"232,331,96"
144,"73,239,335"
145,"426,74,344"
146,"395,92,100"
147,"450,97,209"
148,"81,80,457"
149,"344,449,135"
150,"153,154,367"
151,"377,491,116"
152,"333,98,423"
153,"154,367,355"
154,"153,367,355"
155,"300,299,318"
156,"301,316,317"
157,"246,224,480"
158,"348,245,196"
159,"4,353,343"
160,"309,161,166"
161,"309,160,166"
162,"310,311,298"
163,"164,271,278"
164,"163,205,273"
165,"318,316,317"
166,"14,161,309"
167,"315,185,289"
168,"330,328,329"
169,"185,315,289"
170,"178,276,288"
171,"18,172,21"
172,"340,341,487"
173,"496,171,497"
174,"175,497,359"
175,"174,23,497"
176,"25,277,446"
177,"334,276,335"
178,"170,276,288"
179,"473,35,282"
180,"62,475,245"
181,"285,311,182"
182,"285,181,162"
183,"206,337,241"
184,"438,6,386"
185,"315,289,167"
186,"294,229,303"
187,"188,305,306"
188,"305,187,306"
189,"190,191,188"
190,"189,307,191"
191,"307,190,189"
192,"313,194,314"
193,"194,314,192"
194,"314,193,192"
195,"226,77,361"
196,"245,117,477"
197,"85,327,274"
198,"279,337,388"
199,"313,278,307"
200,"260,265,201"
201,"260,265,200"
202,"269,407,406"
203,"89,266,90"
204,"416,280,35"
205,"273,164,246"
206,"183,271,273"
207,"208,209,97"
208,"207,450,209"
209,"97,450,147"
210,"364,281,96"
211,"381,106,378"
212,"382,351,107"
213,"214,343,115"
214,"213,115,306"
215,"247,246,231"
216,"120,353,217"
217,"353,216,343"
218,"225,249,295"
219,"291,220,254"
220,"8,255,262"
221,"241,222,255"
222,"242,241,252"
223,"224,256,188"
224,"223,256,328"
225,"218,356,125"
226,"195,361,77"
227,"257,362,478"
228,"358,227,295"
229,"500,294,119"
230,"321,66,474"
231,"246,247,215"
232,"143,331,216"
233,"292,301,241"
234,"235,323,324"
235,"234,324,323"
236,"323,234,324"
237,"185,315,289"
238,"69,396,319"
239,"73,144,335"
240,"291,219,8"
241,"242,222,221"
242,"222,241,243"
243,"252,244,242"
244,"253,243,252"
245,"348,117,196"
246,"247,215,231"
247,"215,246,231"
248,"249,345,363"
249,"218,248,298"
250,"251,311,307"
251,"250,307,190"
252,"243,253,222"
253,"244,252,243"
254,"261,255,262"
255,"262,220,254"
256,"224,223,284"
257,"227,451,478"
258,"301,165,316"
259,"287,325,146"
260,"265,200,201"
261,"254,262,8"
262,"255,8,261"
263,"378,106,264"
264,"106,378,263"
265,"260,200,201"
266,"406,90,407"
267,"386,212,382"
268,"387,382,212"
269,"202,407,90"
270,"269,266,203"
271,"272,163,205"
272,"271,273,205"
273,"205,164,272"
327,"274,382,212"
141,"275,274,327"
276,"178,288,170"
277,"446,25,176"
278,"313,307,163"
279,"198,161,401"
280,"458,416,204"
281,"96,364,210"
282,"35,473,179"
283,"295,225,218"
284,"256,306,208"
285,"182,181,311"
492,"286,72,56"
287,"259,325,100"
288,"276,178,170"
289,"315,185,167"
290,"164,295,292"
291,"219,8,240"
292,"233,295,301"
293,"405,96,281"
294,"186,303,229"
295,"218,292,298"
296,"298,346,297"
297,"298,346,296"
298,"310,162,296"
299,"300,155,165"
300,"155,299,2"
301,"258,156,316"
302,"382,212,267"
303,"500,499,463"
304,"207,208,97"
305,"188,187,306"
306,"187,188,305"
307,"190,191,313"
308,"5,184,207"
309,"161,160,459"
310,"162,311,298"
311,"310,162,337"
312,"466,428,187"
313,"314,192,194"
314,"194,313,193"
315,"167,185,289"
316,"165,317,318"
317,"316,165,318"
318,"165,316,317"
319,"69,238,490"
320,"279,62,66"
321,"230,309,459"
322,"124,315,397"
323,"236,234,235"
324,"235,234,323"
325,"259,395,100"
326,"303,500,482"
327,"274,382,212"
328,"330,168,329"
329,"328,330,168"
330,"168,328,329"
331,"232,143,4"
332,"238,69,319"
333,"276,144,491"
334,"72,335,336"
335,"73,334,336"
336,"334,335,276"
337,"311,183,298"
338,"457,81,383"
339,"80,79,81"
340,"20,172,341"
341,"487,172,20"
342,"53,472,55"
343,"213,115,353"
344,"149,449,479"
345,"346,248,298"
346,"345,296,298"
347,"138,98,116"
348,"245,117,477"
349,"57,159,4"
119,"350,118,32"
351,"107,212,382"
352,"382,212,351"
353,"217,159,4"
354,"464,31,437"
355,"153,154,367"
356,"225,127,218"
357,"40,126,358"
358,"451,40,228"
359,"360,22,497"
360,"359,22,497"
361,"77,75,226"
362,"478,227,257"
363,"248,357,345"
210,"364,281,96"
365,"19,1,325"
366,"102,239,138"
367,"153,154,355"
368,"472,55,104"
370,"369,500,499"
370,"369,500,499"
371,"238,396,69"
372,"491,397,56"
373,"144,347,73"
374,"309,459,311"
375,"376,345,248"
376,"248,375,345"
377,"151,423,98"
378,"263,106,264"
379,"384,353,217"
380,"82,378,381"
381,"211,380,82"
382,"212,351,107"
383,"81,80,385"
384,"379,353,213"
385,"81,457,383"
386,"267,212,382"
387,"268,382,212"
388,"198,419,245"
389,"84,83,394"
390,"108,109,392"
391,"392,110,108"
392,"391,110,109"
393,"394,389,83"
394,"84,83,389"
395,"146,92,325"
396,"238,69,48"
397,"124,372,56"
398,"420,113,114"
399,"92,395,146"
400,"112,500,187"
401,"404,279,460"
402,"12,43,427"
403,"104,7,436"
404,"401,39,460"
405,"293,96,281"
406,"266,90,407"
407,"90,202,266"
408,"428,466,12"
409,"46,45,92"
410,"348,419,444"
411,"245,348,478"
412,"348,419,245"
413,"61,441,443"
414,"469,232,459"
415,"268,387,327"
416,"204,280,458"
417,"9,62,79"
418,"195,361,77"
419,"11,412,388"
420,"113,114,398"
421,"42,94,83"
422,"142,137,99"
423,"491,98,124"
424,"275,141,67"
425,"10,135,17"
426,"145,13,425"
427,"43,44,402"
428,"466,408,312"
429,"273,47,428"
430,"94,31,464"
431,"430,354,464"
432,"433,65,58"
433,"432,65,58"
434,"435,221,429"
435,"434,242,222"
436,"437,104,31"
437,"436,31,464"
438,"184,6,386"
439,"50,368,430"
440,"442,441,24"
441,"24,443,440"
442,"440,441,24"
443,"441,24,440"
444,"52,43,343"
445,"232,51,451"
446,"277,25,176"
447,"56,397,347"
448,"493,333,56"
449,"149,344,479"
450,"147,209,97"
451,"358,227,257"
27,"452,28,453"
453,"452,27,28"
454,"29,187,306"
455,"468,355,153"
456,"486,464,31"
457,"81,338,148"
458,"280,416,204"
459,"460,461,309"
460,"459,461,309"
461,"459,460,161"
462,"32,463,500"
32,"463,462,500"
464,"354,31,437"
465,"466,428,11"
466,"465,428,312"
467,"58,470,64"
468,"455,367,153"
469,"414,9,232"
470,"471,432,476"
471,"470,433,476"
472,"55,368,133"
473,"179,35,282"
474,"66,475,9"
475,"474,66,180"
476,"470,58,471"
477,"117,245,196"
478,"362,227,257"
479,"449,344,135"
480,"485,484,15"
481,"37,482,483"
482,"37,481,483"
483,"482,37,481"
484,"485,480,15"
485,"484,15,480"
486,"456,464,437"
487,"341,20,172"
488,"20,487,340"
489,"102,239,470"
490,"238,319,396"
491,"72,124,116"
492,"286,72,56"
493,"448,347,138"
494,"19,495,1"
495,"494,19,1"
496,"173,497,22"
497,"22,360,359"
498,"302,267,386"
499,"500,32,463"
